"color_intensity","yhat"
1.28,0.134757151795911
1.5144,0.134757151795911
1.7488,0.134757151795911
1.9832,0.134757151795911
2.2176,0.134757151795911
2.452,0.134757151795911
2.6864,0.134757151795911
2.9208,0.134757151795911
3.1552,0.134757151795911
3.3896,0.134757151795911
3.624,0.134757151795911
3.8584,0.467082060028275
4.0928,0.522015087212585
4.3272,0.522015087212585
4.5616,0.524120384874214
4.796,0.526446678527013
5.0304,0.526446678527013
5.2648,0.526446678527013
5.4992,0.528156360877412
5.7336,0.528156360877412
5.968,0.528156360877412
6.2024,0.528156360877412
6.4368,0.528156360877412
6.6712,0.528156360877412
6.9056,0.528156360877412
7.14,0.528156360877412
7.3744,0.528156360877412
7.6088,0.528156360877412
7.8432,0.528156360877412
8.0776,0.528156360877412
8.312,0.528156360877412
8.5464,0.528156360877412
8.7808,0.528156360877412
9.0152,0.528156360877412
9.2496,0.528156360877412
9.484,0.528156360877412
9.7184,0.528156360877412
9.9528,0.528156360877412
10.1872,0.528156360877412
10.4216,0.528156360877412
10.656,0.528156360877412
10.8904,0.528156360877412
11.1248,0.528156360877412
11.3592,0.528156360877412
11.5936,0.528156360877412
11.828,0.528156360877412
12.0624,0.528156360877412
12.2968,0.528156360877412
12.5312,0.528156360877412
12.7656,0.528156360877412
13,0.528156360877412
